metric,max_depth,train_error,test_error
infogain,1,0.3013013013013013,0.297111416781293
infogain,2,0.2222222222222222,0.22283356258596973
infogain,3,0.18118118118118118,0.19669876203576342
infogain,4,0.08208208208208208,0.14718019257221457
infogain,5,0.02702702702702703,0.08803301237964237
infogain,6,0.0,0.08803301237964237
majerr,1,0.3013013013013013,0.297111416781293
majerr,2,0.2922922922922923,0.31361760660247595
majerr,3,0.18018018018018017,0.19257221458046767
majerr,4,0.08608608608608609,0.14718019257221457
majerr,5,0.02902902902902903,0.08665749656121045
majerr,6,0.0,0.08665749656121045
gini,1,0.3013013013013013,0.297111416781293
gini,2,0.2222222222222222,0.22283356258596973
gini,3,0.17617617617617617,0.1843191196698762
gini,4,0.0890890890890891,0.13342503438789546
gini,5,0.02702702702702703,0.08803301237964237
gini,6,0.0,0.08803301237964237
