metric,max_depth,train_error,test_error
infogain,1,0.11922384476895379,0.1248249649929986
infogain,2,0.10602120424084817,0.11142228445689138
infogain,3,0.10062012402480495,0.10682136427285457
infogain,4,0.08001600320064013,0.11482296459291859
infogain,5,0.0624124824964993,0.1254250850170034
infogain,6,0.048009601920384073,0.1314262852570514
infogain,7,0.03720744148829766,0.13762752550510102
infogain,8,0.029205841168233646,0.14222844568913784
infogain,9,0.022204440888177635,0.14682936587317463
infogain,10,0.01820364072814563,0.15083016603320665
infogain,11,0.015003000600120024,0.15223044608921785
infogain,12,0.013602720544108821,0.15443088617723544
infogain,13,0.013202640528105622,0.15503100620124025
infogain,14,0.013202640528105622,0.15503100620124025
infogain,15,0.013202640528105622,0.15503100620124025
infogain,16,0.013202640528105622,0.15503100620124025
majerr,1,0.10882176435287057,0.11662332466493298
majerr,2,0.10422084416883377,0.10882176435287057
majerr,3,0.09661932386477295,0.11202240448089618
majerr,4,0.08481696339267854,0.11722344468893779
majerr,5,0.06961392278455691,0.11882376475295059
majerr,6,0.0640128025605121,0.124624924984997
majerr,7,0.058611722344468896,0.1272254450890178
majerr,8,0.05501100220044009,0.1304260852170434
majerr,9,0.05321064212842568,0.13162632526505302
majerr,10,0.04740948189637927,0.136627325465093
majerr,11,0.04120824164832967,0.14342868573714743
majerr,12,0.03460692138427685,0.14862972594518903
majerr,13,0.027605521104220845,0.15803160632126426
majerr,14,0.021004200840168033,0.16303260652130427
majerr,15,0.016803360672134428,0.16623324664932987
majerr,16,0.013202640528105622,0.16843368673734746
gini,1,0.10882176435287057,0.11662332466493298
gini,2,0.10422084416883377,0.10882176435287057
gini,3,0.09361872374474894,0.11242248449689939
gini,4,0.07541508301660332,0.12162432486497299
gini,5,0.0604120824164833,0.1314262852570514
gini,6,0.048409681936387276,0.14122824564912984
gini,7,0.03640728145629126,0.14882976595319064
gini,8,0.026805361072214443,0.15283056611322265
gini,9,0.021604320864172834,0.15683136627325464
gini,10,0.01740348069613923,0.15923184636927384
gini,11,0.014002800560112022,0.16303260652130427
gini,12,0.013602720544108821,0.16323264652930586
gini,13,0.013202640528105622,0.16383276655331067
gini,14,0.013202640528105622,0.16383276655331067
gini,15,0.013202640528105622,0.16383276655331067
gini,16,0.013202640528105622,0.16383276655331067
