metric,max_depth,train_error,test_error
infogain,1,0.11922384476895379,0.1248249649929986
infogain,2,0.10602120424084817,0.11142228445689138
infogain,3,0.10222044408881777,0.10902180436087218
infogain,4,0.08761752350470094,0.11922384476895379
infogain,5,0.06981396279255851,0.12822564512902582
infogain,6,0.05601120224044809,0.13102620524104822
infogain,7,0.04440888177635527,0.13742748549709943
infogain,8,0.03660732146429286,0.1394278855771154
infogain,9,0.030406081216243247,0.14442888577715543
infogain,10,0.02440488097619524,0.14882976595319064
infogain,11,0.020604120824164834,0.14962992598519703
infogain,12,0.01820364072814563,0.15063012602520504
infogain,13,0.01800360072014403,0.15123024604920984
infogain,14,0.01800360072014403,0.15123024604920984
infogain,15,0.01800360072014403,0.15123024604920984
infogain,16,0.01800360072014403,0.15123024604920984
majerr,1,0.10882176435287057,0.11662332466493298
majerr,2,0.10502100420084017,0.11022204440888178
majerr,3,0.09761952390478096,0.11382276455291059
majerr,4,0.08661732346469293,0.11522304460892178
majerr,5,0.07821564312862572,0.1170234046809362
majerr,6,0.07301460292058412,0.11802360472094418
majerr,7,0.06621324264852971,0.1228245649129826
majerr,8,0.058811762352470494,0.1300260052010402
majerr,9,0.05081016203240648,0.13762752550510102
majerr,10,0.04540908181636327,0.14262852570514103
majerr,11,0.040208041608321664,0.14562912582516505
majerr,12,0.03600720144028806,0.14982996599319864
majerr,13,0.030006001200240048,0.15523104620924186
majerr,14,0.02460492098419684,0.16363272654530905
majerr,15,0.021004200840168033,0.16383276655331067
majerr,16,0.01800360072014403,0.16483296659331867
gini,1,0.10882176435287057,0.11662332466493298
gini,2,0.10522104420884176,0.11042208441688338
gini,3,0.10102020404080816,0.10822164432886577
gini,4,0.08821764352870574,0.11762352470494099
gini,5,0.07201440288057612,0.1270254050810162
gini,6,0.05621124224844969,0.1308261652330466
gini,7,0.04440888177635527,0.14042808561712342
gini,8,0.03540708141628326,0.1408281656331266
gini,9,0.02960592118423685,0.14582916583316663
gini,10,0.023604720944188837,0.14902980596119225
gini,11,0.020004000800160033,0.15003000600120023
gini,12,0.01840368073614723,0.15103020604120823
gini,13,0.01800360072014403,0.15163032606521304
gini,14,0.01800360072014403,0.15163032606521304
gini,15,0.01800360072014403,0.15163032606521304
gini,16,0.01800360072014403,0.15163032606521304
