metric,max_depth,train_error,test_error
infogain,1,0.3013013013013013,0.297111416781293
infogain,2,0.2222222222222222,0.22283356258596973
infogain,3,0.18118118118118118,0.19669876203576342
infogain,4,0.08208208208208208,0.15130674002751032
infogain,5,0.02702702702702703,0.08390646492434663
infogain,6,0.0,0.08390646492434663
majerr,1,0.3013013013013013,0.297111416781293
majerr,2,0.3003003003003003,0.31636863823933975
majerr,3,0.20520520520520522,0.2585969738651995
majerr,4,0.10510510510510511,0.1843191196698762
majerr,5,0.04004004004004004,0.13204951856946354
majerr,6,0.0,0.13204951856946354
gini,1,0.3013013013013013,0.297111416781293
gini,2,0.2222222222222222,0.22283356258596973
gini,3,0.17617617617617617,0.1843191196698762
gini,4,0.0890890890890891,0.1375515818431912
gini,5,0.02702702702702703,0.08390646492434663
gini,6,0.0,0.08390646492434663
