metric,max_depth,train_error,test_error
infogain,1,0.11922384476895379,0.1248249649929986
infogain,2,0.10602120424084817,0.11142228445689138
infogain,3,0.10062012402480495,0.10702140428085617
infogain,4,0.08001600320064013,0.11422284456891378
infogain,5,0.0624124824964993,0.11922384476895379
infogain,6,0.048009601920384073,0.1284256851370274
infogain,7,0.03720744148829766,0.13382676535307061
infogain,8,0.029205841168233646,0.13902780556111222
infogain,9,0.022204440888177635,0.14322864572914584
infogain,10,0.01820364072814563,0.14782956591318264
infogain,11,0.015003000600120024,0.14822964592918583
infogain,12,0.013602720544108821,0.15023004600920184
infogain,13,0.013202640528105622,0.15123024604920984
infogain,14,0.013202640528105622,0.15123024604920984
infogain,15,0.013202640528105622,0.15123024604920984
infogain,16,0.013202640528105622,0.15123024604920984
majerr,1,0.10882176435287057,0.11662332466493298
majerr,2,0.10422084416883377,0.10882176435287057
majerr,3,0.09661932386477295,0.11182236447289458
majerr,4,0.08561712342468494,0.11682336467293458
majerr,5,0.06881376275255051,0.119623924784957
majerr,6,0.0638127625525105,0.1248249649929986
majerr,7,0.0592118423684737,0.1272254450890178
majerr,8,0.05501100220044009,0.1308261652330466
majerr,9,0.052810562112422486,0.1308261652330466
majerr,10,0.04740948189637927,0.134626925385077
majerr,11,0.04160832166433286,0.14022804560912183
majerr,12,0.033606721344268856,0.14842968593718744
majerr,13,0.027405481096219243,0.15483096619323863
majerr,14,0.02020404080816163,0.16023204640928185
majerr,15,0.016403280656131225,0.16243248649729947
majerr,16,0.013202640528105622,0.16503300660132025
gini,1,0.10882176435287057,0.11662332466493298
gini,2,0.10422084416883377,0.10882176435287057
gini,3,0.09361872374474894,0.11222244448889777
gini,4,0.07541508301660332,0.11922384476895379
gini,5,0.0604120824164833,0.125625125025005
gini,6,0.048409681936387276,0.13622724544908982
gini,7,0.03640728145629126,0.14502900580116024
gini,8,0.026805361072214443,0.15043008601720345
gini,9,0.021604320864172834,0.15183036607321465
gini,10,0.01740348069613923,0.15463092618523705
gini,11,0.014002800560112022,0.15843168633726745
gini,12,0.013602720544108821,0.15823164632926584
gini,13,0.013202640528105622,0.15923184636927384
gini,14,0.013202640528105622,0.15923184636927384
gini,15,0.013202640528105622,0.15923184636927384
gini,16,0.013202640528105622,0.15923184636927384
