n,model,train_error,test_error
1,adaboost,0.178375,0.1885
1,bagged_trees,0.10933333333333334,0.2738333333333333
1,random_forest,0.10625,0.25966666666666666
2,adaboost,0.178375,0.1885
2,bagged_trees,0.10183333333333333,0.22333333333333333
2,random_forest,0.10504166666666667,0.22116666666666668
3,adaboost,0.178375,0.1885
3,bagged_trees,0.06491666666666666,0.23933333333333334
3,random_forest,0.06345833333333334,0.22733333333333333
4,adaboost,0.178375,0.1885
4,bagged_trees,0.07154166666666667,0.21416666666666667
4,random_forest,0.071625,0.21116666666666667
5,adaboost,0.178375,0.1885
5,bagged_trees,0.049833333333333334,0.22616666666666665
5,random_forest,0.049708333333333334,0.21716666666666667
6,adaboost,0.178375,0.1885
6,bagged_trees,0.057583333333333334,0.21666666666666667
6,random_forest,0.056125,0.21283333333333335
7,adaboost,0.178375,0.1885
7,bagged_trees,0.043583333333333335,0.2225
7,random_forest,0.04075,0.215
8,adaboost,0.178375,0.1885
8,bagged_trees,0.048791666666666664,0.21266666666666667
8,random_forest,0.04633333333333333,0.2075
9,adaboost,0.17795833333333333,0.18916666666666668
9,bagged_trees,0.03775,0.2185
9,random_forest,0.035333333333333335,0.21
10,adaboost,0.17775,0.189
10,bagged_trees,0.04170833333333333,0.20933333333333334
10,random_forest,0.04058333333333333,0.20666666666666667
11,adaboost,0.17933333333333334,0.19033333333333333
11,bagged_trees,0.034666666666666665,0.217
11,random_forest,0.03295833333333333,0.20933333333333334
12,adaboost,0.17779166666666665,0.188
12,bagged_trees,0.037625,0.2115
12,random_forest,0.03779166666666667,0.2055
13,adaboost,0.17833333333333334,0.18866666666666668
13,bagged_trees,0.032625,0.21466666666666667
13,random_forest,0.030916666666666665,0.2065
14,adaboost,0.178625,0.18883333333333333
14,bagged_trees,0.035125,0.21183333333333335
14,random_forest,0.034208333333333334,0.205
15,adaboost,0.17845833333333333,0.1885
15,bagged_trees,0.030916666666666665,0.21433333333333332
15,random_forest,0.029958333333333333,0.2045
16,adaboost,0.17845833333333333,0.1885
16,bagged_trees,0.033375,0.21166666666666667
16,random_forest,0.03245833333333333,0.20283333333333334
17,adaboost,0.17845833333333333,0.1885
17,bagged_trees,0.0295,0.21383333333333332
17,random_forest,0.028291666666666666,0.205
18,adaboost,0.17845833333333333,0.1885
18,bagged_trees,0.03191666666666667,0.20866666666666667
18,random_forest,0.030625,0.2035
19,adaboost,0.17845833333333333,0.1885
19,bagged_trees,0.029166666666666667,0.21316666666666667
19,random_forest,0.027583333333333335,0.20483333333333334
20,adaboost,0.177,0.18816666666666668
20,bagged_trees,0.030833333333333334,0.21133333333333335
20,random_forest,0.029458333333333333,0.20316666666666666
21,adaboost,0.17808333333333334,0.18916666666666668
21,bagged_trees,0.028583333333333332,0.21433333333333332
21,random_forest,0.027166666666666665,0.204
22,adaboost,0.17808333333333334,0.18866666666666668
22,bagged_trees,0.030333333333333334,0.21083333333333334
22,random_forest,0.028625,0.2035
23,adaboost,0.17870833333333333,0.18983333333333333
23,bagged_trees,0.028,0.21066666666666667
23,random_forest,0.026708333333333334,0.20333333333333334
24,adaboost,0.17733333333333334,0.1885
24,bagged_trees,0.029583333333333333,0.2085
24,random_forest,0.027875,0.20366666666666666
25,adaboost,0.17833333333333334,0.19
25,bagged_trees,0.026958333333333334,0.20866666666666667
25,random_forest,0.026291666666666668,0.20366666666666666
26,adaboost,0.178,0.18983333333333333
26,bagged_trees,0.028,0.20816666666666667
26,random_forest,0.02725,0.20283333333333334
27,adaboost,0.17779166666666665,0.18883333333333333
27,bagged_trees,0.026125,0.20816666666666667
27,random_forest,0.025958333333333333,0.2025
28,adaboost,0.17845833333333333,0.189
28,bagged_trees,0.026875,0.20783333333333334
28,random_forest,0.02654166666666667,0.2015
29,adaboost,0.177625,0.18866666666666668
29,bagged_trees,0.025625,0.209
29,random_forest,0.025416666666666667,0.20266666666666666
30,adaboost,0.17816666666666667,0.18883333333333333
30,bagged_trees,0.026375,0.20783333333333334
30,random_forest,0.026083333333333333,0.1995
31,adaboost,0.17870833333333333,0.18816666666666668
31,bagged_trees,0.025541666666666667,0.209
31,random_forest,0.024916666666666667,0.20283333333333334
32,adaboost,0.17833333333333334,0.18833333333333332
32,bagged_trees,0.026458333333333334,0.209
32,random_forest,0.025625,0.20133333333333334
33,adaboost,0.17845833333333333,0.1885
33,bagged_trees,0.02525,0.20883333333333334
33,random_forest,0.024958333333333332,0.2025
34,adaboost,0.17829166666666665,0.18833333333333332
34,bagged_trees,0.025958333333333333,0.20866666666666667
34,random_forest,0.025416666666666667,0.2005
35,adaboost,0.178375,0.1885
35,bagged_trees,0.024916666666666667,0.208
35,random_forest,0.024416666666666666,0.20316666666666666
36,adaboost,0.17825,0.1885
36,bagged_trees,0.025375,0.208
36,random_forest,0.024958333333333332,0.2015
37,adaboost,0.17858333333333334,0.18833333333333332
37,bagged_trees,0.024625,0.2085
37,random_forest,0.024375,0.2025
38,adaboost,0.178375,0.18833333333333332
38,bagged_trees,0.025083333333333332,0.20966666666666667
38,random_forest,0.024708333333333332,0.201
39,adaboost,0.17920833333333333,0.18916666666666668
39,bagged_trees,0.024375,0.20983333333333334
39,random_forest,0.024333333333333332,0.2025
40,adaboost,0.17895833333333333,0.18933333333333333
40,bagged_trees,0.024833333333333332,0.2095
40,random_forest,0.024458333333333332,0.19966666666666666
41,adaboost,0.178875,0.18966666666666668
41,bagged_trees,0.024375,0.21
41,random_forest,0.024125,0.2
42,adaboost,0.178875,0.18933333333333333
42,bagged_trees,0.024708333333333332,0.20916666666666667
42,random_forest,0.024333333333333332,0.1985
43,adaboost,0.17908333333333334,0.1895
43,bagged_trees,0.024291666666666666,0.20916666666666667
43,random_forest,0.024125,0.19866666666666666
44,adaboost,0.17875,0.18933333333333333
44,bagged_trees,0.0245,0.20733333333333334
44,random_forest,0.024166666666666666,0.19733333333333333
45,adaboost,0.17895833333333333,0.1895
45,bagged_trees,0.024041666666666666,0.20666666666666667
45,random_forest,0.024083333333333335,0.19833333333333333
46,adaboost,0.178875,0.18933333333333333
46,bagged_trees,0.024291666666666666,0.20716666666666667
46,random_forest,0.024125,0.1975
47,adaboost,0.17829166666666665,0.189
47,bagged_trees,0.023916666666666666,0.20716666666666667
47,random_forest,0.023916666666666666,0.19816666666666666
48,adaboost,0.17933333333333334,0.1895
48,bagged_trees,0.023958333333333335,0.20666666666666667
48,random_forest,0.024166666666666666,0.197
49,adaboost,0.17908333333333334,0.18966666666666668
49,bagged_trees,0.02375,0.207
49,random_forest,0.023958333333333335,0.198
50,adaboost,0.17920833333333333,0.19
50,bagged_trees,0.023875,0.20733333333333334
50,random_forest,0.024041666666666666,0.19766666666666666
51,adaboost,0.179125,0.19
51,bagged_trees,0.023666666666666666,0.20733333333333334
51,random_forest,0.023833333333333335,0.1985
52,adaboost,0.179375,0.19
52,bagged_trees,0.02375,0.20816666666666667
52,random_forest,0.023875,0.19733333333333333
53,adaboost,0.17908333333333334,0.19
53,bagged_trees,0.023583333333333335,0.2075
53,random_forest,0.02375,0.19883333333333333
54,adaboost,0.17816666666666667,0.18866666666666668
54,bagged_trees,0.023666666666666666,0.20633333333333334
54,random_forest,0.023875,0.19683333333333333
55,adaboost,0.17895833333333333,0.18983333333333333
55,bagged_trees,0.023541666666666666,0.2065
55,random_forest,0.023791666666666666,0.19783333333333333
56,adaboost,0.17908333333333334,0.18933333333333333
56,bagged_trees,0.0235,0.20583333333333334
56,random_forest,0.023833333333333335,0.197
57,adaboost,0.17816666666666667,0.1885
57,bagged_trees,0.0235,0.2065
57,random_forest,0.023625,0.1975
58,adaboost,0.178125,0.1885
58,bagged_trees,0.023541666666666666,0.20566666666666666
58,random_forest,0.02375,0.197
