model,n_iter,train_error,test_error
Batch Gradient Descent,1,1357.5808441557376,1347.4192504318396
Stochastic Gradient Descent,1,1245.2810419689456,1236.2249226384595
Batch Gradient Descent,2,1350.547225400988,1340.4654664271418
Stochastic Gradient Descent,2,1152.3626047789348,1144.3208052638975
Batch Gradient Descent,3,1343.5515903137873,1333.5495018953536
Stochastic Gradient Descent,3,1047.1187441562297,1040.6020279429135
Batch Gradient Descent,4,1336.5937337558878,1326.671151860914
Stochastic Gradient Descent,4,977.5451028596455,971.760221747491
Batch Gradient Descent,5,1329.673451696931,1319.8302124572263
Stochastic Gradient Descent,5,921.1358724027782,916.0122876283416
Batch Gradient Descent,6,1322.790541208464,1313.0264809206635
Stochastic Gradient Descent,6,853.1215964767366,849.113120503954
Batch Gradient Descent,7,1315.9448004579913,1306.259755584606
Stochastic Gradient Descent,7,802.922753450447,799.7994071508485
Batch Gradient Descent,8,1309.1360287030511,1299.5298358735129
Stochastic Gradient Descent,8,733.2531095444755,731.4114990657094
Batch Gradient Descent,9,1302.3640262853326,1292.836522297023
Stochastic Gradient Descent,9,685.5716968119998,684.4596860295491
Batch Gradient Descent,10,1295.628594624818,1286.1796164440896
Stochastic Gradient Descent,10,583.0448760631123,583.6581533042599
Batch Gradient Descent,11,1288.9295362139608,1279.5589209771458
Stochastic Gradient Descent,11,519.8102047482467,521.6141339720489
Batch Gradient Descent,12,1282.266654611892,1272.974239626301
Stochastic Gradient Descent,12,472.35274749383456,475.2870684728348
Batch Gradient Descent,13,1275.6397544386612,1266.4253771835722
Stochastic Gradient Descent,13,414.0138639766512,418.3535803642938
Batch Gradient Descent,14,1269.0486413695057,1259.9121394971403
Stochastic Gradient Descent,14,387.3797569226564,392.3056514575261
Batch Gradient Descent,15,1262.493122129152,1253.4343334656444
Stochastic Gradient Descent,15,358.57605425427516,364.2756741385237
Batch Gradient Descent,16,1255.9730044861471,1246.9917670324999
Stochastic Gradient Descent,16,318.97637964345984,325.69620072266787
Batch Gradient Descent,17,1249.4880972472233,1240.5842491802543
Stochastic Gradient Descent,17,322.02312007507254,328.64868316332576
Batch Gradient Descent,18,1243.0382102516887,1234.211589924968
Stochastic Gradient Descent,18,298.68201089976003,306.04659542371724
Batch Gradient Descent,19,1236.6231543658519,1227.8736003106274
Stochastic Gradient Descent,19,278.7524095507185,286.70369960728743
Batch Gradient Descent,20,1230.2427414774759,1221.5700924035896
Stochastic Gradient Descent,20,264.2501418246402,272.6820145731263
Batch Gradient Descent,21,1223.89678449026,1215.3008792870546
Stochastic Gradient Descent,21,257.17923747080016,265.83505469890343
